Day,BodyFat_lb,BodyWeight_lb,BodyFat_Pct,BaselineTDEE_kcal,MaxFatDeficit_kcal,DietDeficit_kcal,RequiredExercise_kcal
1,70.07,234.57,29.87,3132.0,1762.0,932.0,830.0
2,69.65,234.15,29.74,3129.0,1752.0,929.0,822.0
3,69.22,233.72,29.62,3126.0,1741.0,926.0,815.0
4,68.8,233.3,29.49,3123.0,1731.0,923.0,807.0
5,68.39,232.89,29.36,3121.0,1720.0,921.0,800.0
6,67.97,232.47,29.24,3118.0,1710.0,918.0,792.0
7,67.56,232.06,29.11,3115.0,1699.0,915.0,785.0
8,67.15,231.65,28.99,3112.0,1689.0,912.0,777.0
9,66.74,231.24,28.86,3109.0,1679.0,909.0,770.0
10,66.33,230.83,28.74,3106.0,1668.0,906.0,762.0
11,65.93,230.43,28.61,3103.0,1658.0,903.0,755.0
12,65.53,230.03,28.49,3100.0,1648.0,900.0,748.0
13,65.13,229.63,28.36,3098.0,1638.0,898.0,741.0
14,64.74,229.24,28.24,3095.0,1628.0,895.0,734.0
15,64.35,228.85,28.12,3092.0,1618.0,892.0,727.0
16,63.95,228.45,27.99,3089.0,1609.0,889.0,719.0
17,63.57,228.07,27.87,3086.0,1599.0,886.0,712.0
18,63.18,227.68,27.75,3084.0,1589.0,884.0,705.0
19,62.8,227.3,27.63,3081.0,1580.0,881.0,699.0
20,62.42,226.92,27.51,3078.0,1570.0,878.0,692.0
21,62.04,226.54,27.38,3076.0,1560.0,876.0,685.0
22,61.66,226.16,27.26,3073.0,1551.0,873.0,678.0
23,61.29,225.79,27.14,3070.0,1541.0,870.0,671.0
24,60.91,225.41,27.02,3068.0,1532.0,868.0,664.0
25,60.54,225.04,26.9,3065.0,1523.0,865.0,658.0
26,60.18,224.68,26.78,3062.0,1514.0,862.0,651.0
27,59.81,224.31,26.66,3060.0,1504.0,860.0,645.0
28,59.45,223.95,26.55,3057.0,1495.0,857.0,638.0
29,59.09,223.59,26.43,3055.0,1486.0,855.0,631.0
30,58.73,223.23,26.31,3052.0,1477.0,852.0,625.0
31,58.37,222.87,26.19,3050.0,1468.0,850.0,619.0
32,58.02,222.52,26.07,3047.0,1459.0,847.0,612.0
33,57.66,222.16,25.96,3045.0,1450.0,845.0,606.0
34,57.31,221.81,25.84,3042.0,1442.0,842.0,599.0
35,56.97,221.47,25.72,3040.0,1433.0,840.0,593.0
36,56.62,221.12,25.61,3037.0,1424.0,837.0,587.0
37,56.28,220.78,25.49,3035.0,1416.0,835.0,581.0
38,55.94,220.44,25.37,3032.0,1407.0,832.0,574.0
39,55.6,220.1,25.26,3030.0,1398.0,830.0,568.0
40,55.26,219.76,25.14,3028.0,1390.0,828.0,562.0
41,54.92,219.42,25.03,3025.0,1381.0,825.0,556.0
42,54.59,219.09,24.92,3023.0,1373.0,823.0,550.0
43,54.26,218.76,24.8,3021.0,1365.0,821.0,544.0
44,53.93,218.43,24.69,3018.0,1356.0,818.0,538.0
45,53.6,218.1,24.58,3016.0,1348.0,816.0,532.0
46,53.28,217.78,24.46,3014.0,1340.0,814.0,526.0
47,52.95,217.45,24.35,3011.0,1332.0,811.0,521.0
48,52.63,217.13,24.24,3009.0,1324.0,809.0,515.0
49,52.31,216.81,24.13,3007.0,1316.0,807.0,509.0
50,51.99,216.49,24.02,3005.0,1308.0,805.0,503.0
51,51.68,216.18,23.91,3002.0,1300.0,802.0,497.0
52,51.36,215.86,23.79,3000.0,1292.0,800.0,492.0
53,51.05,215.55,23.68,2998.0,1284.0,798.0,486.0
54,50.74,215.24,23.57,2996.0,1276.0,796.0,481.0
55,50.43,214.93,23.46,2994.0,1269.0,794.0,475.0
56,50.13,214.63,23.36,2991.0,1261.0,791.0,469.0
57,49.82,214.32,23.25,2989.0,1253.0,789.0,464.0
58,49.52,214.02,23.14,2987.0,1246.0,787.0,458.0
59,49.22,213.72,23.03,2985.0,1238.0,785.0,453.0
60,48.92,213.42,22.92,2983.0,1231.0,783.0,448.0
61,48.62,213.12,22.82,2981.0,1223.0,781.0,442.0
62,48.33,212.83,22.71,2979.0,1216.0,779.0,437.0
63,48.04,212.54,22.6,2977.0,1208.0,777.0,432.0
64,47.74,212.24,22.49,2975.0,1201.0,775.0,426.0
65,47.45,211.95,22.39,2972.0,1194.0,772.0,421.0
66,47.17,211.67,22.28,2970.0,1186.0,770.0,416.0
67,46.88,211.38,22.18,2968.0,1179.0,768.0,411.0
68,46.6,211.1,22.07,2966.0,1172.0,766.0,406.0
69,46.31,210.81,21.97,2964.0,1165.0,764.0,400.0
70,46.03,210.53,21.86,2962.0,1158.0,762.0,395.0
71,45.75,210.25,21.76,2960.0,1151.0,760.0,390.0
72,45.47,209.97,21.66,2958.0,1144.0,758.0,385.0
73,45.2,209.7,21.55,2957.0,1137.0,757.0,380.0
74,44.92,209.42,21.45,2955.0,1130.0,755.0,375.0
75,44.65,209.15,21.35,2953.0,1123.0,753.0,370.0
76,44.38,208.88,21.25,2951.0,1116.0,751.0,366.0
77,44.11,208.61,21.14,2949.0,1109.0,749.0,361.0
78,43.84,208.34,21.04,2947.0,1103.0,747.0,356.0
79,43.58,208.08,20.94,2945.0,1096.0,745.0,351.0
80,43.31,207.81,20.84,2943.0,1089.0,743.0,346.0
81,43.05,207.55,20.74,2941.0,1083.0,741.0,341.0
82,42.79,207.29,20.64,2939.0,1076.0,739.0,337.0
83,42.53,207.03,20.54,2938.0,1070.0,738.0,332.0
84,42.27,206.77,20.44,2936.0,1063.0,736.0,327.0
85,42.01,206.51,20.34,2934.0,1057.0,734.0,323.0
86,41.76,206.26,20.25,2932.0,1050.0,732.0,318.0
87,41.5,206.0,20.15,2930.0,1044.0,730.0,314.0
88,41.25,205.75,20.05,2929.0,1038.0,729.0,309.0
89,41.0,205.5,19.95,2927.0,1031.0,727.0,304.0
90,40.75,205.25,19.85,2925.0,1025.0,725.0,300.0
91,40.51,205.01,19.76,2923.0,1019.0,723.0,295.0
92,40.26,204.76,19.66,2922.0,1013.0,722.0,291.0
93,40.01,204.51,19.57,2920.0,1006.0,720.0,287.0
94,39.77,204.27,19.47,2918.0,1000.0,718.0,282.0
95,39.53,204.03,19.37,2916.0,994.0,716.0,278.0
96,39.29,203.79,19.28,2915.0,988.0,715.0,274.0
97,39.05,203.55,19.19,2913.0,982.0,713.0,269.0
98,38.81,203.31,19.09,2911.0,976.0,711.0,265.0
99,38.58,203.08,19.0,2910.0,970.0,710.0,261.0
100,38.34,202.84,18.9,2908.0,964.0,708.0,256.0
101,38.11,202.61,18.81,2906.0,959.0,706.0,252.0
102,37.88,202.38,18.72,2905.0,953.0,705.0,248.0
103,37.65,202.15,18.63,2903.0,947.0,703.0,244.0
104,37.42,201.92,18.53,2902.0,941.0,702.0,240.0
105,37.19,201.69,18.44,2900.0,936.0,700.0,236.0
106,36.97,201.47,18.35,2898.0,930.0,698.0,232.0
107,36.74,201.24,18.26,2897.0,924.0,697.0,228.0
108,36.52,201.02,18.17,2895.0,919.0,695.0,223.0
109,36.3,200.8,18.08,2894.0,913.0,694.0,219.0
110,36.08,200.58,17.99,2892.0,907.0,692.0,215.0
111,35.86,200.36,17.9,2890.0,902.0,690.0,212.0
112,35.64,200.14,17.81,2889.0,897.0,689.0,208.0
113,35.43,199.93,17.72,2887.0,891.0,687.0,204.0
114,35.21,199.71,17.63,2886.0,886.0,686.0,200.0
115,35.0,199.5,17.54,2884.0,880.0,684.0,196.0
116,34.78,199.28,17.45,2883.0,875.0,683.0,192.0
117,34.57,199.07,17.37,2881.0,870.0,681.0,188.0
118,34.36,198.86,17.28,2880.0,864.0,680.0,184.0
119,34.16,198.66,17.19,2878.0,859.0,678.0,181.0
120,33.95,198.45,17.11,2877.0,854.0,677.0,177.0
121,33.74,198.24,17.02,2875.0,849.0,675.0,173.0
122,33.54,198.04,16.93,2874.0,844.0,674.0,170.0
123,33.33,197.83,16.85,2873.0,838.0,673.0,166.0
124,33.13,197.63,16.76,2871.0,833.0,671.0,162.0
125,32.93,197.43,16.68,2870.0,828.0,670.0,159.0
126,32.73,197.23,16.59,2868.0,823.0,668.0,155.0
127,32.53,197.03,16.51,2867.0,818.0,667.0,151.0
128,32.33,196.83,16.43,2866.0,813.0,666.0,148.0
129,32.14,196.64,16.34,2864.0,808.0,664.0,144.0
130,31.94,196.44,16.26,2863.0,803.0,663.0,141.0
131,31.75,196.25,16.18,2861.0,799.0,661.0,137.0
132,31.56,196.06,16.1,2860.0,794.0,660.0,134.0
133,31.36,195.86,16.01,2859.0,789.0,659.0,130.0
134,31.17,195.67,15.93,2857.0,784.0,657.0,127.0
135,30.98,195.48,15.85,2856.0,779.0,656.0,123.0
136,30.8,195.3,15.77,2855.0,775.0,655.0,120.0
137,30.61,195.11,15.69,2853.0,770.0,653.0,117.0
138,30.42,194.92,15.61,2852.0,765.0,652.0,113.0
139,30.24,194.74,15.53,2851.0,761.0,651.0,110.0
140,30.05,194.55,15.45,2849.0,756.0,649.0,107.0
141,29.87,194.37,15.37,2848.0,751.0,648.0,103.0
142,29.69,194.19,15.29,2847.0,747.0,647.0,100.0
143,29.51,194.01,15.21,2846.0,742.0,646.0,97.0
144,29.33,193.83,15.13,2844.0,738.0,644.0,93.0
145,29.15,193.65,15.05,2843.0,733.0,643.0,90.0
146,28.98,193.48,14.98,2842.0,729.0,642.0,87.0
147,28.8,193.3,14.9,2841.0,724.0,641.0,84.0
148,28.63,193.13,14.82,2839.0,720.0,639.0,81.0
149,28.45,192.95,14.75,2838.0,716.0,638.0,78.0
150,28.28,192.78,14.67,2837.0,711.0,637.0,74.0
151,28.11,192.61,14.59,2836.0,707.0,636.0,71.0
152,27.94,192.44,14.52,2834.0,703.0,634.0,68.0
153,27.77,192.27,14.44,2833.0,698.0,633.0,65.0
154,27.6,192.1,14.37,2832.0,694.0,632.0,62.0
155,27.43,191.93,14.29,2831.0,690.0,631.0,59.0
156,27.26,191.76,14.22,2830.0,686.0,630.0,56.0
157,27.1,191.6,14.14,2828.0,682.0,628.0,53.0
158,26.93,191.43,14.07,2827.0,677.0,627.0,50.0
159,26.77,191.27,14.0,2826.0,673.0,626.0,47.0
160,26.61,191.11,13.92,2825.0,669.0,625.0,44.0
161,26.45,190.95,13.85,2824.0,665.0,624.0,41.0
162,26.29,190.79,13.78,2823.0,661.0,623.0,38.0
163,26.13,190.63,13.71,2822.0,657.0,622.0,36.0
164,25.97,190.47,13.63,2820.0,653.0,620.0,33.0
165,25.81,190.31,13.56,2819.0,649.0,619.0,30.0
166,25.65,190.15,13.49,2818.0,645.0,618.0,27.0
167,25.5,190.0,13.42,2817.0,641.0,617.0,24.0
168,25.34,189.84,13.35,2816.0,637.0,616.0,21.0
169,25.19,189.69,13.28,2815.0,634.0,615.0,19.0
170,25.04,189.54,13.21,2814.0,630.0,614.0,16.0
171,24.88,189.38,13.14,2813.0,626.0,613.0,13.0
